t 1 2 jV0100 
5.87e-05 5 4.54393 -0.456066
5.88e-05 5 4.54393 -0.456066
5.89e-05 5 4.54393 -0.456066
5.9e-05 5 4.54393 -0.456066
5.91e-05 5 4.54393 -0.456066
5.92e-05 5 4.54393 -0.456066
5.93e-05 5 4.54393 -0.456066
5.94e-05 5 4.54393 -0.456066
5.95e-05 5 4.54393 -0.456066
5.96e-05 5 4.54393 -0.456066
5.97e-05 5 4.54393 -0.456066
5.98e-05 5 4.54393 -0.456066
5.99e-05 5 4.54393 -0.456066
6e-05 5 4.54393 -0.456066
6.01e-05 5 4.54393 -0.456066
6.02e-05 5 4.54393 -0.456066
6.03e-05 5 4.54393 -0.456066
6.04e-05 5 4.54393 -0.456066
6.05e-05 5 4.54393 -0.456066
6.06e-05 5 4.54393 -0.456066
6.07e-05 5 4.54393 -0.456066
6.08e-05 5 4.54393 -0.456066
6.09e-05 5 4.54393 -0.456066
6.1e-05 5 4.54393 -0.456066
6.11e-05 5 4.54393 -0.456066
6.12e-05 5 4.54393 -0.456066
6.13e-05 5 4.54393 -0.456066
6.14e-05 5 4.54393 -0.456066
6.15e-05 5 4.54393 -0.456066
6.16e-05 5 4.54393 -0.456066
6.17e-05 5 4.54393 -0.456066
6.18e-05 5 4.54393 -0.456066
6.19e-05 5 4.54393 -0.456066
6.2e-05 5 4.54393 -0.456066
6.21e-05 5 4.54393 -0.456066
6.22e-05 5 4.54393 -0.456066
6.23e-05 5 4.54393 -0.456066
6.24e-05 5 4.54393 -0.456066
6.25e-05 5 4.54393 -0.456066
6.26e-05 5 4.54393 -0.456066
6.27e-05 5 4.54393 -0.456066
6.28e-05 5 4.54393 -0.456066
6.29e-05 5 4.54393 -0.456066
6.3e-05 5 4.54393 -0.456066
6.31e-05 5 4.54393 -0.456066
6.32e-05 5 4.54393 -0.456066
6.33e-05 5 4.54393 -0.456066
6.34e-05 5 4.54393 -0.456066
6.35e-05 5 4.54393 -0.456066
6.36e-05 5 4.54393 -0.456066
6.37e-05 5 4.54393 -0.456066
6.38e-05 5 4.54393 -0.456066
6.39e-05 5 4.54393 -0.456066
6.4e-05 5 4.54393 -0.456066
6.41e-05 5 4.54393 -0.456066
6.42e-05 5 4.54393 -0.456066
6.43e-05 5 4.54393 -0.456066
6.44e-05 5 4.54393 -0.456066
6.45e-05 5 4.54393 -0.456066
6.46e-05 5 4.54393 -0.456066
6.47e-05 5 4.54393 -0.456066
6.48e-05 5 4.54393 -0.456066
6.49e-05 5 4.54393 -0.456066
6.5e-05 5 4.54393 -0.456066
6.51e-05 5 4.54393 -0.456066
6.52e-05 5 4.54393 -0.456066
6.53e-05 5 4.54393 -0.456066
6.54e-05 5 4.54393 -0.456066
6.55e-05 5 4.54393 -0.456066
6.56e-05 5 4.54393 -0.456066
6.57e-05 5 4.54393 -0.456066
6.58e-05 5 4.54393 -0.456066
6.59e-05 5 4.54393 -0.456066
6.6e-05 5 4.54393 -0.456066
6.61e-05 5 4.54393 -0.456066
6.62e-05 5 4.54393 -0.456066
6.63e-05 5 4.54393 -0.456066
6.64e-05 5 4.54393 -0.456066
6.65e-05 5 4.54393 -0.456066
6.66e-05 5 4.54393 -0.456066
6.67e-05 5 4.54393 -0.456066
6.68e-05 5 4.54393 -0.456066
6.69e-05 5 4.54393 -0.456066
6.7e-05 5 4.54393 -0.456066
6.71e-05 5 4.54393 -0.456066
6.72e-05 5 4.54393 -0.456066
6.73e-05 5 4.54393 -0.456066
6.74e-05 5 4.54393 -0.456066
6.75e-05 5 4.54393 -0.456066
6.76e-05 5 4.54393 -0.456066
6.77e-05 5 4.54393 -0.456066
6.78e-05 5 4.54393 -0.456066
6.79e-05 5 4.54393 -0.456066
6.8e-05 5 4.54393 -0.456066
6.81e-05 5 4.54393 -0.456066
6.82e-05 5 4.54393 -0.456066
6.83e-05 5 4.54393 -0.456066
6.84e-05 5 4.54393 -0.456066
6.85e-05 5 4.54393 -0.456066
6.86e-05 5 4.54393 -0.456066
6.87e-05 5 4.54393 -0.456066
6.88e-05 5 4.54393 -0.456066
6.89e-05 5 4.54393 -0.456066
6.9e-05 5 4.54393 -0.456066
6.91e-05 5 4.54393 -0.456066
6.92e-05 5 4.54393 -0.456066
6.93e-05 5 4.54393 -0.456066
6.94e-05 5 4.54393 -0.456066
6.95e-05 5 4.54393 -0.456066
6.96e-05 5 4.54393 -0.456066
6.97e-05 5 4.54393 -0.456066
6.98e-05 5 4.54393 -0.456066
