f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f jL0200m jL0200f jL0110m jL0110f jL0800m jL0800f jV0300m jV0300f jV1000m jV1000f jV0700m jV0700f jV1100m jV1100f jV0900m jV0900f 
500 9.99949 -0.575981 2.99717 72.5594 10 -0 8.27982 34.108 2.58833 92.3107 9.89274 -8.39931 10 -0 3.12607 58.2027 10 -0 10 -0 10 -0 0.000954028 -17.4406 0.000999949 179.424 0.000995059 -31.7973 0.000954028 162.559 0.000999949 179.424 0.00146071 -98.3993 0.000827982 -145.892 0.00087652 162.355
510 9.99947 -0.587499 3.05158 72.2323 10 -0 8.33084 33.5832 2.64177 91.0908 9.88848 -8.56483 10 -0 3.17107 57.5076 10 -0 10 -0 10 -0 0.000952302 -17.7677 0.000999947 179.413 0.000989591 -32.4924 0.000952302 162.232 0.000999947 179.413 0.00148928 -98.5648 0.000833084 -146.417 0.000871702 162.131
520 9.99945 -0.599018 3.10569 71.9065 10 -0 8.37981 33.0724 2.69405 89.894 9.88414 -8.7302 10 -0 3.21493 56.8215 10 -0 10 -0 10 -0 0.000950551 -18.0935 0.000999945 179.401 0.000983984 -33.1785 0.000950551 161.906 0.000999945 179.401 0.00151782 -98.7302 0.000837981 -146.928 0.000866882 161.917
530 9.99943 -0.610537 3.15951 71.5818 10 -0 8.42684 32.5753 2.74518 88.72 9.87972 -8.89543 10 -0 3.25766 56.1447 10 -0 10 -0 10 -0 0.000948776 -18.4182 0.000999943 179.389 0.00097825 -33.8553 0.000948776 161.582 0.000999943 179.389 0.00154632 -98.8954 0.000842684 -147.425 0.000862065 161.711
540 9.99941 -0.622056 3.21302 71.2583 10 -0 8.47202 32.0913 2.79515 87.5686 9.87523 -9.06051 10 -0 3.29927 55.4773 10 -0 10 -0 10 -0 0.000946977 -18.7417 0.000999941 179.378 0.000972399 -34.5227 0.000946977 161.258 0.000999941 179.378 0.00157478 -99.0605 0.000847202 -147.909 0.000857257 161.513
550 9.99939 -0.633574 3.26622 70.9361 10 -0 8.51544 31.62 2.84398 86.4394 9.87065 -9.22544 10 -0 3.33979 54.8193 10 -0 10 -0 10 -0 0.000945155 -19.0639 0.000999939 179.366 0.000966445 -35.1807 0.000945155 160.936 0.000999939 179.366 0.00160319 -99.2254 0.000851544 -148.38 0.000852463 161.324
560 9.99937 -0.645093 3.31912 70.6152 10 -0 8.55716 31.161 2.89166 85.332 9.866 -9.39021 10 -0 3.37923 54.171 10 -0 10 -0 10 -0 0.00094331 -19.3848 0.000999937 179.355 0.000960396 -35.829 0.00094331 160.615 0.000999937 179.355 0.00163157 -99.3902 0.000855716 -148.839 0.000847687 161.143
570 9.99934 -0.656611 3.3717 70.2954 10 -0 8.59729 30.7138 2.93822 84.2462 9.86127 -9.55483 10 -0 3.41761 53.5324 10 -0 10 -0 10 -0 0.000941444 -19.7046 0.000999934 179.343 0.000954263 -36.4676 0.000941444 160.295 0.000999934 179.343 0.00165991 -99.5548 0.000859729 -149.286 0.000842933 160.971
580 9.99932 -0.66813 3.42397 69.977 10 -0 8.63588 30.2781 2.98365 83.1816 9.85647 -9.71929 10 -0 3.45495 52.9035 10 -0 10 -0 10 -0 0.000939555 -20.023 0.000999932 179.332 0.000948056 -37.0965 0.000939555 159.977 0.000999932 179.332 0.00168821 -99.7193 0.000863588 -149.722 0.000838206 160.806
590 9.9993 -0.679648 3.47593 69.6599 10 -0 8.67301 29.8535 3.02798 82.1377 9.85159 -9.88358 10 -0 3.49127 52.2843 10 -0 10 -0 10 -0 0.000937646 -20.3401 0.00099993 179.32 0.000941784 -37.7157 0.000937646 159.66 0.00099993 179.32 0.00171647 -99.8836 0.000867301 -150.147 0.000833509 160.65
600 9.99927 -0.691166 3.52756 69.344 10 -0 8.70875 29.4395 3.07122 81.1143 9.84663 -10.0477 10 -0 3.52659 51.6749 10 -0 10 -0 10 -0 0.000935715 -20.656 0.000999927 179.309 0.000935456 -38.3251 0.000935715 159.344 0.000999927 179.309 0.00174468 -100.048 0.000870875 -150.561 0.000828845 160.501
610 9.99925 -0.702685 3.57888 69.0295 10 -0 8.74316 29.0358 3.11338 80.111 9.84159 -10.2117 10 -0 3.56093 51.0752 10 -0 10 -0 10 -0 0.000933765 -20.9705 0.000999925 179.297 0.000929081 -38.9248 0.000933765 159.029 0.000999925 179.297 0.00177285 -100.212 0.000874316 -150.964 0.000824218 160.36
620 9.99922 -0.714203 3.62987 68.7162 10 -0 8.7763 28.6422 3.15448 79.1274 9.83649 -10.3755 10 -0 3.59431 50.4852 10 -0 10 -0 10 -0 0.000931794 -21.2838 0.000999922 179.286 0.000922666 -39.5148 0.000931794 158.716 0.000999922 179.286 0.00180098 -100.375 0.00087763 -151.358 0.000819631 160.226
630 9.9992 -0.725721 3.68054 68.4043 10 -0 8.80823 28.2582 3.19454 78.163 9.8313 -10.5391 10 -0 3.62677 49.9048 10 -0 10 -0 10 -0 0.000929804 -21.5957 0.00099992 179.274 0.00091622 -40.0952 0.000929804 158.404 0.00099992 179.274 0.00182907 -100.539 0.000880823 -151.742 0.000815085 160.1
640 9.99917 -0.737239 3.73089 68.0938 10 -0 8.839 27.8836 3.23358 77.2176 9.82605 -10.7026 10 -0 3.65832 49.334 10 -0 10 -0 10 -0 0.000927796 -21.9062 0.000999917 179.263 0.000909749 -40.666 0.000927796 158.094 0.000999917 179.263 0.0018571 -100.703 0.0008839 -152.116 0.000810584 159.981
650 9.99915 -0.748757 3.7809 67.7845 10 -0 8.86866 27.518 3.27163 76.2907 9.82071 -10.8658 10 -0 3.68898 48.7728 10 -0 10 -0 10 -0 0.000925769 -22.2155 0.000999915 179.251 0.00090326 -41.2272 0.000925769 157.785 0.000999915 179.251 0.0018851 -100.866 0.000886866 -152.482 0.000806129 159.869
660 9.99912 -0.760275 3.83059 67.4767 10 -0 8.89727 27.1611 3.30869 75.382 9.81531 -11.0289 10 -0 3.71877 48.2209 10 -0 10 -0 10 -0 0.000923724 -22.5233 0.000999912 179.24 0.000896759 -41.7791 0.000923724 157.477 0.000999912 179.24 0.00191305 -101.029 0.000889727 -152.839 0.000801722 159.763
670 9.99909 -0.771793 3.87995 67.1702 10 -0 8.92486 26.8127 3.34479 74.4911 9.80983 -11.1918 10 -0 3.74773 47.6784 10 -0 10 -0 10 -0 0.000921661 -22.8298 0.000999909 179.228 0.000890253 -42.3216 0.000921661 157.17 0.000999909 179.228 0.00194095 -101.192 0.000892486 -153.187 0.000797366 159.664
680 9.99907 -0.783311 3.92898 66.8651 10 -0 8.95149 26.4725 3.37996 73.6176 9.80428 -11.3546 10 -0 3.77587 47.1451 10 -0 10 -0 10 -0 0.000919582 -23.1349 0.000999907 179.217 0.000883747 -42.8549 0.000919582 156.865 0.000999907 179.217 0.0019688 -101.355 0.000895149 -153.528 0.000793061 159.572
690 9.99904 -0.794829 3.97767 66.5613 10 -0 8.97719 26.1402 3.41421 72.7612 9.79865 -11.5171 10 -0 3.80321 46.621 10 -0 10 -0 10 -0 0.000917487 -23.4387 0.000999904 179.205 0.000877246 -43.379 0.000917487 156.561 0.000999904 179.205 0.00199661 -101.517 0.000897719 -153.86 0.000788809 159.486
700 9.99901 -0.806347 4.02603 66.259 10 -0 9.00201 25.8155 3.44757 71.9214 9.79295 -11.6795 10 -0 3.82978 46.1058 10 -0 10 -0 10 -0 0.000915375 -23.741 0.000999901 179.194 0.000870755 -43.8942 0.000915375 156.259 0.000999901 179.194 0.00202437 -101.679 0.000900201 -154.184 0.00078461 159.406
710 9.99898 -0.817864 4.07405 65.9581 10 -0 9.02598 25.4984 3.48005 71.0979 9.78718 -11.8417 10 -0 3.8556 45.5996 10 -0 10 -0 10 -0 0.000913247 -24.0419 0.000999898 179.182 0.000864278 -44.4004 0.000913247 155.958 0.000999898 179.182 0.00205208 -101.842 0.000902598 -154.502 0.000780466 159.332
720 9.99895 -0.829382 4.12174 65.6585 10 -0 9.04914 25.1884 3.51169 70.2904 9.78134 -12.0036 10 -0 3.88069 45.102 10 -0 10 -0 10 -0 0.000911105 -24.3415 0.000999895 179.171 0.000857821 -44.898 0.000911105 155.659 0.000999895 179.171 0.00207974 -102.004 0.000904914 -154.812 0.000776378 159.263
730 9.99892 -0.8409 4.16909 65.3604 10 -0 9.07152 24.8853 3.54249 69.4985 9.77543 -12.1654 10 -0 3.90507 44.6131 10 -0 10 -0 10 -0 0.000908948 -24.6396 0.000999892 179.159 0.000851386 -45.3869 0.000908948 155.36 0.000999892 179.159 0.00210735 -102.165 0.000907152 -155.115 0.000772346 159.2
740 9.99889 -0.852417 4.21611 65.0637 10 -0 9.09316 24.5891 3.57249 68.7218 9.76945 -12.327 10 -0 3.92877 44.1327 10 -0 10 -0 10 -0 0.000906777 -24.9363 0.000999889 179.148 0.000844977 -45.8673 0.000906777 155.064 0.000999889 179.148 0.00213491 -102.327 0.000909316 -155.411 0.000768371 159.143
750 9.99886 -0.863935 4.26279 64.7684 10 -0 9.11408 24.2993 3.6017 67.96 9.7634 -12.4884 10 -0 3.9518 43.6607 10 -0 10 -0 10 -0 0.000904592 -25.2316 0.000999886 179.136 0.000838597 -46.3393 0.000904592 154.768 0.000999886 179.136 0.00216242 -102.488 0.000911408 -155.701 0.000764453 159.091
760 9.99883 -0.875452 4.30913 64.4745 10 -0 9.13432 24.016 3.63014 67.2128 9.75728 -12.6496 10 -0 3.97418 43.1968 10 -0 10 -0 10 -0 0.000902394 -25.5255 0.000999883 179.125 0.00083225 -46.8032 0.000902394 154.474 0.000999883 179.125 0.00218988 -102.65 0.000913432 -155.984 0.000760592 159.043
